G535,
0.5656565656565657,0.008455845901663091
0.5757575757575758,0.009577894287389538
0.5858585858585859,0.010613715228436868
0.595959595959596,0.01155332845230393
0.6060606060606061,0.012387376721572434
0.6161616161616162,0.013115825249694332
0.6262626262626263,0.013745815691261749
0.6363636363636365,0.014284674303854338
0.6464646464646465,0.01473972734505174
0.6565656565656566,0.015118301072433615
0.6666666666666667,0.015427721743579613
0.6767676767676768,0.015675315616069385
0.686868686868687,0.015868408947482582
0.696969696969697,0.016014327995398862
0.7070707070707072,0.016119935965530872
0.7171717171717172,0.016187315694317153
0.7272727272727273,0.016215729856825553
0.7373737373737375,0.016204404677976944
0.7474747474747475,0.0161525663826922
0.7575757575757577,0.016059441195892202
0.7676767676767677,0.015924255342497837
0.7777777777777778,0.01574623504742996
0.787878787878788,0.015524606535609461
0.797979797979798,0.015258596031957224
0.8080808080808082,0.01494687089524879
0.8181818181818182,0.014583968114154517
0.8282828282828284,0.01416257343323836
0.8383838383838385,0.013675363864780788
0.8484848484848485,0.013115016421062262
0.8585858585858587,0.012474208114363209
0.8686868686868687,0.01174561595696412
0.8787878787878789,0.010921916961145424
0.888888888888889,0.009995788139187594
0.8989898989898991,0.008959906503371069
0.9090909090909092,0.007813745739090766
0.9191919191919192,0.006593541235569066
0.9292929292929294,0.0053479003782188304
0.9393939393939394,0.004125439875735698
0.9494949494949496,0.0029747764368152547
0.9595959595959597,0.001944526770153136
0.9696969696969697,0.0010833075844449394
0.9797979797979799,0.0004397355883862716
0.98989898989899,6.242749067275753e-05
